Fecha,year,q,Intérprete,genero,loudness,loudness_recalculado,
5 de julio,1980,Tu frialdad ,Triana,1,-9,,-8.128888889
12 de julio,1980,Ven,Paolo Salvatore,2,-8,,
19 de julio,1980,Hey!,Julio Iglesias,2,-9,,
26 de julio,1980,Hey!,Julio Iglesias,2,-9,,
2 de agosto,1980,Santa Lucía,Miguel Ríos,1,-6.16,,
9 de agosto,1980,Dime que me quieres,Tequila,1,-8,,
16 de agosto,1980,Dime que me quieres,Tequila,1,-8,,
23 de agosto,1980,Dime que me quieres,Tequila,1,-8,,
30 de agosto,1980,Dime que me quieres,Tequila,1,-8,,
4 de julio,1981,Stars on 45 (part 1),Stars on 45,2,-19,,-8.777777778
11 de julio,1981,Stars on 45 (part 1),Stars on 46,2,-19,,
18 de julio,1981,Jugando a vivir,Miguel Ríos,1,-8,,
25 de julio,1981,Una noche de amor desesperada,Triana,1,-6,,
1 de agosto,1981,Que nadie sepa mi sufrir,Julio Iglesias,2,-6,,
8 de agosto,1981,Hands Up (Give Me Your Heart),Ottawan,2,-9,,
15 de agosto,1981,No hago otra cosa que pensar en ti,Joan Manuel Serrat,7,-4,,
22 de agosto,1981,No hago otra cosa que pensar en ti,Joan Manuel Serrat,7,-4,,
29 de agosto,1981,No hago otra cosa que pensar en ti,Joan Manuel Serrat,7,-4,,
3 de julio,1982,More than this,Roxy Music,6,-4,,-7.041111111
10 de julio,1982,Tú y yo,Emmanuel,2,-6,,
17 de julio,1982,Un toque de locura,"José Luis Rodríguez ""El Puma""",4,-5,,
24 de julio,1982,Just an Illusion,Imagination,3,-12,,
31 de julio,1982,Las Leandras,Luis Cobos,clasica,-9,,
7 de agosto,1982,¡Que tire la toalla!,Leño,1,-7,,
14 de agosto,1982,Felicidad,Al Bano y Romina Power,2,-5,,
21 de agosto,1982,Dos enamorados,Pedro Marín,1,-7.68,,
28 de agosto,1982,Dos enamorados,Pedro Marín,1,-7.69,,
2 de julio,1983,Last Night a DJ Saved my Life,Indeep,5,-8,,-8.15
9 de julio,1983,El 1 de una noche de verano,Miguel Ríos,1,-7.395,,
16 de julio,1983,El 1 de una noche de verano,Miguel Ríos,1,-7.395,,
23 de julio,1983,Volveré,Chiquetete,7,-7,,
30 de julio,1983,Moonlight Shadow,Mike Oldfield,2,-8,,
6 de agosto,1983,Baby Jane,Rod Stewart,2,-8.56,,
13 de agosto,1983,Every breath you take,The Police,1,-10,,
20 de agosto,1983,She Works Hard for the Money,Donna Summer,5,-13,,
27 de agosto,1983,Cada loco con su tema,Joan Manuel Serrat,7,-4,,
14 de julio,1984,Piel de terciopelo,Pato de goma,2,-9,,-6.654285714
21 de julio,1984,Noche de San Juan,Bertín Osborne,7,-4,,
28 de julio,1984,Si tú los vieras,Pecos,2,-7,,
4 de agosto,1984,Joanna,Kool & the Gang,3,-11,,
11 de agosto,1984,Cerca de ti,Los Elegantes,1,-5,,
18 de agosto,1984,One Love,Bob Marley y The Wailers,3,-4,,
25 de agosto,1984,La colegiala (12'' extended version),Gary Low,5,-6.58,,
6 de julio,1985,Amanda,Paolo Salvatore,2,-8,,-5.333333333
13 de julio,1985,Camarero,Enrique,2,-5,,
20 de julio,1985,A View to a Kill,Duran Duran,2,-5,,
27 de julio,1985,"If You Love Somebody, Set Them Free",Sting,1,-6,,
3 de agosto,1985,Live is life,Opus,2,-4,,
10 de agosto,1985,Live is life,Opus,2,-4,,
17 de agosto,1985,Live is life,Opus,2,-4,,
24 de agosto,1985,You Can Win if You Want,Modern Talking,2,-8,,
31 de agosto,1985,Baila para mí,Objetivo Birmania,2,-4,,
5 de julio,1986,A Kind of Magic,Queen,1,-6,,-9.197777778
12 de julio,1986,Te esperaré,Pantoja,7,-6,,
19 de julio,1986,El tomavistas,Paolo Salvatore,2,-10,,
26 de julio,1986,Nena,Miguel Bosé,2,-5,,
2 de agosto,1986,Right between the Eyes,Wax,2,-11,,
9 de agosto,1986,Ay qué pesado,Mecano,2,-7,,
16 de agosto,1986,Dancing in Paris (Qué pasa),Angel,2,-10,,
23 de agosto,1986,"Hey, mademoiselle",Iván,2,-10.78,,
30 de agosto,1986,Easy Lady,Spagna,2,-17,,
4 de julio,1987,Cuatro mexicanos,Cuentos chinos,2,-5.6,,-6.434444444
11 de julio,1987,In the Army Now,Status Quo,1,-8,,
18 de julio,1987,Jardín de rosas,Duncan Dhu,1,-4.31,,
25 de julio,1987,Sola (con un desconocido),Olé Olé,2,-9,,
1 de agosto,1987,Voyage Voyage,Desireless,2,-8,,
8 de agosto,1987,Cuerpos calientes,Ramoncín,1,-3,,
15 de agosto,1987,América 4,La Década Prodigiosa,2,-5,,
22 de agosto,1987,Master Mix,Hombres G,1,-8,,
29 de agosto,1987,Ellos las prefieren gordas,Orquesta Mondragón,2,-7,,
2 de julio,1988,Una calle de París,Duncan Dhu,1,-7,,-8.537777778
9 de julio,1988,Gimme Hope Jo'anna,Eddy Grant,3,-12,,
16 de julio,1988,Gimme Hope Jo'anna,Eddy Grant,3,-12,,
23 de julio,1988,Suite nupcial,Gabinete Caligari,1,-13,,
30 de julio,1988,My Love,Julio Iglesias y Stevie Wonder,2,-4,,
6 de agosto,1988,¡Chas! Y aparezco a tu lado,Alex y Cristina,2,-3,,
13 de agosto,1988,Ya no danzo al son de los tambores,El último de la fila,2,-11,,
20 de agosto,1988,Ayúdame (no soy un héroe),Ramoncín,1,-12,,
27 de agosto,1988,La madre,Víctor Manuel,2,-2.84,,
1 de julio,1989,Lullaby,The Cure,6,-4,,-7.291111111
8 de julio,1989,Te dejé marchar,Luz Casal,2,-9,,
15 de julio,1989,The Look,Roxette,2,-8,,
22 de julio,1989,I Want it All,Queen,1,-6,,
29 de julio,1989,My Brave Face,Paul McCartney,1,-8.62,,
5 de agosto,1989,Aquí no hay playa,The Refrescos,3,-8,,
12 de agosto,1989,Cadillac solitario,Loquillo y Trogloditas,1,-4,,
19 de agosto,1989,Good Thing,Fine Young Cannibals,2,-10,,
26 de agosto,1989,Aquí no hay playa,The Refrescos,3,-8,,
7 de julio,1990,The power,Snap!,5,-4,,-8.2
14 de julio,1990,Soldados del amor,Olé Olé,2,-4,,
21 de julio,1990,La abuela,Wilfred y la Ganga,3,-6.8,,
28 de julio,1990,La abuela,Wilfred y la Ganga,3,-6.8,,
4 de agosto,1990,Beach Boys Megamix,The Beach Boys,2,-13,,
11 de agosto,1990,Ya no me engañas,Los Ronaldos,1,-7,,
18 de agosto,1990,Corazón de tiza,Radio Futura,1,-15,,
25 de agosto,1990,Step by Step,New Kids on the Block,2,-9,,
6 de julio,1991,Let there Be Love,Simple Minds,1,-17.25,,-10.28111111
13 de julio,1991,Chiquilla,Seguridad Social,1,-3.55,,
20 de julio,1991,Loco Vox,Loco Mía,2,-9.71,,
27 de julio,1991,El 7 de septiembre,Mecano,2,-8.29,,
3 de agosto,1991,Palabras de fuego,La Frontera,2,-9.99,,
10 de agosto,1991,Despertar,Héroes del Silencio,1,-4.46,,
17 de agosto,1991,The One and Only,Chesney Hawkes,2,-23.53,,
24 de agosto,1991,El amoto,No me pises que llevo chanclas,2,-5,,
31 de agosto,1991,Gypsy Woman (She's Homeless),Crystal Waters,5,-10.75,,
4 de julio,1992,Let's Get 1ed,Def Leppard,1,-6.44,,-7.25
11 de julio,1992,Better Days,Bruce Springsteen,1,-8.37,,
18 de julio,1992,Cuéntame un cuento,Celtas Cortos,1,-3.75,,
25 de julio,1992,Al lado de ti,La Trampa,2,-8.86,,
1 de agosto,1992,Por verte feliz,Terapia Nacional,2,-7.11,,
8 de agosto,1992,Dame tu amistad,Tennessee,2,-10.89,,
22 de agosto,1992,Una rosa es una rosa,Mecano,2,-8.81,,
29 de agosto,1992,The One,Elton John,1,-3.77,,
3 de julio,1993,Your Latest Trick,Dire Straits,1,-13.49,,-9.634444444
10 de julio,1993,All that She Wants,Ace of Base,2,-9.68,,
17 de julio,1993,Informer,Snow,3,-6.84,,
24 de julio,1993,Dicen...,OBK,2,-10.9,,
31 de julio,1993,Fields of Gold,Sting,1,-11.91,,
7 de agosto,1993,Amiga mala suerte,Los Secretos,1,-5.23,,
14 de agosto,1993,Mi tierra,Gloria Estefan,2,-8.84,,
21 de agosto,1993,(I Can't Help) Falling in Love With You,UB40,2,-16.98,,
28 de agosto,1993,Sin documentos,Los Rodríguez,2,-2.84,,
2 de julio,1994,Dentro de ti,Revólver,1,-5.2,,-6.741111111
9 de julio,1994,Baby I Love Your Way,Big Mountain,3,-7.26,,
16 de julio,1994,What Do You Want From Me?,Pink Floyd,1,-9.54,,
23 de julio,1994,La soledad,Laura Pausini,2,-4.13,,
30 de julio,1994,El canario,No me pises que llevo chanclas,2,-8.54,,
6 de agosto,1994,Vivir sin aire,Maná,1,-6.16,,
13 de agosto,1994,Señor Matanza,Mano Negra,1,-7.39,,
20 de agosto,1994,Somos el futuro,Siete-7 Black,2,-6.4,,
27 de agosto,1994,Capricornio,Duncan Dhu,1,-6.05,,
1 de julio,1995,Have You Ever Really Loved a Woman?,Bryan Adams,2,-8.091,,-6.892666667
8 de julio,1995,This Ain't a Love Song,Bon Jovi,1,-6.836,,
15 de julio,1995,Milonga del marinero y el capitán,Los Rodríguez,1,-4.132,,
22 de julio,1995,Mishale,Andru Donalds,3,-5.643,,
29 de julio,1995,Entre mis recuerdos,Luz Casal,2,-8.235,,
5 de agosto,1995,Entre mis recuerdos,Luz Casal,2,-8.235,,
12 de agosto,1995,Can't cry anymore,Sheryl Crow,2,-10.881,,
19 de agosto,1995,Mi razón de ser,OBK,2,-4.73,,
26 de agosto,1995,En la selva,Juan Perro,2,-5.251,,
6 de julio,1996,Salvation,The Cranberries,1,-4.76,,
13 de julio,1996,María,Ricky Martin,2,-8.83,,-5.9875
20 de julio,1996,Lemon Tree,Fools Garden,2,-3.96,,
27 de julio,1996,Mucho mejor,Los Rodríguez,2,-4.58,,
3 de agosto,1996,The Only Thing that Looks Good on Me Is You,Bryan Adams,2,-4.43,,
10 de agosto,1996,Until It Sleeps,Metallica,1,-6.64,,
17 de agosto,1996,Contigo,Joaquín Sabina,7,-7.94,,
24 de agosto,1996,A sudar,Danza Invisible,2,-5.79,,
31 de agosto,1996,El talismán,Rosana,2,-5.73,,
5 de julio,1997,Song 2,Blur,2,-6.174,,-5.349666667
12 de julio,1997,The Real Thing,Lisa Stansfield,2,-4.472,,
19 de julio,1997,Blood on the Dance Floor,Michael Jackson,2,-5.087,,
26 de julio,1997,Garota nacional,Skank,4,-5.435,,
2 de agosto,1997,Frío sin ti,Navajita Plateá,2,-7.733,,
9 de agosto,1997,MMMBop,Hanson,2,-1.644,,
16 de agosto,1997,Haz turismo,Celtas Cortos,1,-4.6,,
23 de agosto,1997,A contratiempo,Ana Torroja,2,-3.934,,
30 de agosto,1997,Staring at the Sun,U2,1,-9.068,,
4 de julio,1998,Gimme Love,Alexia,2,-8.76,,-7.854777778
11 de julio,1998,Save Tonight,Eagle-Eye Cherry,2,-4.334,,
18 de julio,1998,Out of Control,The Rolling Stones,1,-7.514,,
25 de julio,1998,What Can I Do?,The Corrs,2,-4.5,,
1 de agosto,1998,Gimme the Power,Molotov,3,-7.055,,
8 de agosto,1998,Ponle sabor,DJ Kun,3,-4.432,,
15 de agosto,1998,Train,Undrop,1,-5.18,,
22 de agosto,1998,La bomba,Ricky Martin,2,-18.157,,
29 de agosto,1998,Happy World,Blue 4 U,3,-10.761,,
3 de julio,1999,Livin' la vida loca,Ricky Martin,2,-5.83,,-9.353888889
10 de julio,1999,I Want it That Way,Backstreet Boys,2,-8.191,,
17 de julio,1999,Te quiero igual,Andrés Calamaro,2,-6.927,,
24 de julio,1999,Bailamos,Enrique Iglesias,2,-18.54,,
31 de julio,1999,Canned Heat,Jamiroquai,2,-6.711,,
7 de agosto,1999,Wait Here,Deviot,1,-11.471,,
14 de agosto,1999,Blue (Da Ba Dee),Eiffel 65,5,-9.515,,
21 de agosto,1999,Livin' in Jam,Blue 4 U,2,-9.836,,
28 de agosto,1999,Mambo nº5 (A Little Bit Of...),Lou Bega,2,-7.164,,
1 de julio,2000,If Only,Hanson,2,-5.569,,-6.940888889
8 de julio,2000,It's My Life,Bon Jovi,2,-17.024,,
15 de julio,2000,Sueño su boca,Raúl,2,-6.119,,
22 de julio,2000,No me dejes de querer,Gloria Estefan,4,-5.605,,
29 de julio,2000,Maria Maria,Santana,3,-4.768,,
5 de agosto,2000,La bomba,King África,5,-5.18,,
12 de agosto,2000,Oops!... I Did It Again,Britney Spears,2,-5.444,,
19 de agosto,2000,California,Mikel Erentxun,1,-9.484,,
26 de agosto,2000,Rayando el sol,Maná,2,-3.275,,
7 de julio,2001,Nunca el tiempo es perdido,Manolo García,2,-5.652,,-5.206375
14 de julio,2001,Maggie despierta,M-Clan,1,-3.186,,
21 de julio,2001,Imitation of Life,R.E.M.,2,-4.187,,
28 de julio,2001,Dile que la quiero,David Civera,2,-8.135,,
4 de agosto,2001,Me gustas tú,Manu Chao,2,-6.81,,
11 de agosto,2001,Prohibida,Raúl,2,-3.935,,
18 de agosto,2001,Out of Reach,Gabrielle,3,-6.737,,
25 de agosto,2001,Nada de ná',Café Quijano,2,-3.009,,
6 de julio,2002,Sigo intentando,Marta Sánchez,2,-6.638,,-5.661666667
13 de julio,2002,A Dios le pido,Juanes,2,-3.513,,
20 de julio,2002,Que la detengan,David Civera,2,-6.502,,
27 de julio,2002,Aserejé,Las Ketchup,2,-5.538,,
3 de agosto,2002,A Little Less Conversation,Elvis Presley,1,-9.386,,
10 de agosto,2002,Destrangis in the night,Estopa,1,-5.604,,
17 de agosto,2002,By the Way,Red Hot Chili Peppers,1,-4.938,,
24 de agosto,2002,Cruel to Be Kind,Naím Thomas,2,-3.5,,
31 de agosto,2002,Lloraré las penas,David Bisbal,2,-5.336,,
5 de julio,2003,La madre de José,El Canto del Loco,2,-2.84,,-5.005111111
12 de julio,2003,Una emoción para siempre,Eros Ramazzotti,2,-4.489,,
19 de julio,2003,Bye Bye,David Civera,2,-8.193,,
26 de julio,2003,Son de amores,Andy & Lucas,2,-5.411,,
2 de agosto,2003,¡Ojú!,Las Niñas,3,-5.26,,
9 de agosto,2003,Parando el tiempo,Beth,2,-6.777,,
16 de agosto,2003,Crazy in Love,Beyoncé con Jay-Z,3,-6.596,,
23 de agosto,2003,20 de enero,La Oreja de Van Gogh,2,-4.047,,
30 de agosto,2003,1 más 1 son 7,Fran Perea,2,-1.433,,
3 de julio,2004,Quiero ser,Antonio Orozco,2,-8,,-6.253444444
10 de julio,2004,Obsesión,Aventura,4,-6.912,,
17 de julio,2004,Dragostea din tei,O-Zone,2,-3.947,,
24 de julio,2004,Hablando en plata,Melendi,2,-5.105,,
31 de julio,2004,Summer Sunshine,The Corrs,1,-6.56,,
7 de agosto,2004,Cuanto antes,Álex Ubago,2,-7.578,,
14 de agosto,2004,Maria Caipirinha,Carlinhos Brown con DJ Dero,4,-5.558,,
21 de agosto,2004,Pastillas de freno,Estopa,2,-6.15,,
28 de agosto,2004,"Dale, Don dale",Don Omar,4,-6.471,,
2 de julio,2005,Princesas,Pereza,2,-3.551,,-3.085333333
9 de julio,2005,Zapatillas,El Canto Del Loco,2,-2.382,,
16 de julio,2005,Zapatillas,El Canto Del Loco,2,-2.382,,
23 de julio,2005,Nada fue un error,Coti con Paulina Rubio y Julieta Venegas,2,-6.784,,
30 de julio,2005,Zapatillas,El Canto Del Loco,2,-2.382,,
6 de agosto,2005,Días de verano,Amaral,2,-2.509,,
13 de agosto,2005,Días de verano,Amaral,2,-2.509,,
20 de agosto,2005,Días de verano,Amaral,2,-2.509,,
27 de agosto,2005,Don't Phunk with My Heart,The Black Eyed Peas,3,-2.76,,
1 de julio,2006,Hips Don't Lie,Shakira con Wyclef Jean,2,-5.892,,-4.791777778
8 de julio,2006,Besos,El Canto del Loco,2,-3.583,,
15 de julio,2006,Me voy,Julieta Venegas,2,-4.503,,
22 de julio,2006,Todo,Pereza,2,-11.01,,
29 de julio,2006,Hips Don't Lie,Shakira con Wyclef Jean,2,-5.892,,
5 de agosto,2006,One,U2 con Mary J. Blige,1,-3.112,,
12 de agosto,2006,Resurrección,Amaral,2,-2.302,,
19 de agosto,2006,Satellites,September,5,-4.53,,
26 de agosto,2006,Resurrección,Amaral,2,-2.302,,
7 de julio,2007,How to Save a Life,The Fray,1,-4.08,,-6.306125
14 de julio,2007,All Good Things (Come to an End),Nelly Furtado,2,-7.704,,
21 de julio,2007,All Good Things (Come to an End),Nelly Furtado,2,-7.704,,
28 de julio,2007,Chasing Cars,Snow Patrol,1,-4.53,,
4 de agosto,2007,Grace Kelly,Mika,2,-5.752,,
11 de agosto,2007,Las de la intuición,Shakira,2,-7.075,,
18 de agosto,2007,All Good Things (Come to an End),Nelly Furtado,2,-7.704,,
25 de agosto,2007,Calle la Pantomima,Melendi,2,-5.9,,
5 de julio,2008,Bleeding Love,Leona Lewis,2,-5.886,,-5.047555556
12 de julio,2008,Beautiful Girls,Sean Kingston,2,-6.075,,
19 de julio,2008,Mercy,Duffy,2,-4.882,,
26 de julio,2008,Beautiful Girls,Sean Kingston,2,-6.075,,
2 de agosto,2008,Ella Elle l'a,Kate Ryan,2,-4.407,,
9 de agosto,2008,Ella Elle l'a,Kate Ryan,2,-4.407,,
16 de agosto,2008,Ella Elle l'a,Kate Ryan,2,-4.407,,
23 de agosto,2008,Mercy,Duffy,2,-4.882,,
30 de agosto,2008,Ella Elle l'a,Kate Ryan,2,-4.407,,
4 de julio,2009,Colgando en tus manos,Carlos Baute con Marta Sánchez,2,-4.803,,-6.533
11 de julio,2009,Hot N Cold,Katy Perry,2,-3.956,,
18 de julio,2009,I'm Yours,Jason Mraz,2,-8.322,,
25 de julio,2009,I'm Yours,Jason Mraz,2,-8.322,,
1 de agosto,2009,Poker Face,Lady Gaga,2,-4.62,,
8 de agosto,2009,Moving,Macaco,2,-7.373,,
15 de agosto,2009,Moving,Macaco,2,-7.373,,
22 de agosto,2009,Halo,Beyoncé,2,-5.908,,
29 de agosto,2009,Summercat,Billie the vision and the dancers,2,-8.12,,
3 de julio,2010,Waka Waka (Esto es África),Shakira con Freshlyground,2,-4.825,,-4.699111111
10 de julio,2010,Waka Waka (Esto es África),Shakira con Freshlyground,2,-4.825,,
17 de julio,2010,Wavin' Flag,K'naan con David Bisbal,3,-4.443,,
