Artist,Song,Id,Popularity
Camila Gallardo,Ven,7eEdZKfreDKafp0FuLKDET,67
CNCO,Hey DJ,209gZgcfLq2aUuu51vOWBl,81
Miguel Rios,Santa Lucia - Remastered,1Ok4Rurnuup8kV8VNbOOwb,46
Tequila,Dime Que Me Quieres,6KYDS6LAaMe2D7xikLYZZL,44
Stars On 45,Stars On 45 - Original Single Version,3MJOiicdOtPcXg0uuvM1VL,44
Miguel Rios,Jugando A Vivir - Remastered,5DeCswUq94TLcTs0PCTgih,5
Triana,Una noche de amor desesperada,685pSRiL9NEQYt0gRZ46L9,34
Lila Downs,Que Nadie Sepa Mi Sufrir,6kYIZQ1uG6hu0FltPc5CzD,50
Funn Club,Hands Up (Give Me Your Heart),3jycjf25QsaEjO8pYpWRSC,0
Joan Manuel Serrat,No Hago Otra Cosa Que Pensar en Ti,0t3yaLPmfvNfsShotQeXxs,43
Grace VanderWaal,So Much More Than This,599hlIX8JXS7RNYvQ3EPCQ,75
Felipe Santos,Ã‰ramos tÃº y yo,1kbs9WhfvoIUwm7SfHaddu,68
JosÃ© Luis RodrÃ­guez,Un Toque De Locura,5w12IWT3rdYiggTuEqgcHO,30
Eve St. Jones,Just an Illusion,03WPtWOEHFNI1dqhtVuSQU,45
Delia Rubens,Los Nardos - Las Leandras (Montilla),0wpOevB4bN4UCaX5MUwVsX,16
LeÃ±o,Â¡Que Tire la Toalla!,2yMrTa5c3YV8kv2o4sLami,32
Shotta,Felicidad,5yUR6jfhuKJNwUtYo52t2q,52
Laura Pausini,Dos Enamorados,1WPp7vI3CWROtgJ4kcYkgt,32
Indeep,Last Night a D.J. Saved My Life,34jtsFqKNRSJFa0r6ZRqQh,58
Miguel Rios,El Rock De Una Noche De Verano - En Directo / 2017,23l2w3igJeeB73PwGwNDRx,27
El Barrio,No VolverÃ©,0UpLygEYxKfZWvzyQfUK8g,43
Mike Oldfield,Moonlight Shadow,5Jc21xaya2MrHp2KOetrBq,62
Rod Stewart,Baby Jane - 2008 Remastered Version,1wrT33b6HuKlpk9ziscEUY,55
The Police,Every Breath You Take - Remastered 2003,5C0LFQARavkPpn7JgA4sLk,79
Donna Summer,She Works Hard For The Money,4HUtl3utOjpVEEXiXJmXVj,52
Joan Manuel Serrat,Cada Loco Con Su Tema,1thgvw4iBQEUTzcGKOPwhy,27
Kiko y Shara,Adolescentes,29699gQVPOc6cLocZJMsRT,38
Pato De Goma,Piel De Terciopelo,1ZDHk6jmqD4RJaxtKpS7CW,1
Merche,Noche de San Juan,5bgIPTp5vgOUurl5ECygmM,54
Pecos,Si Tu los Vieras,0iVbTGxMvrEzayioeQtwfc,18
Joanna Wang,Wild World - Acoustic Version,0ZWSpn7UgqAp4exbKEUD5g,63
Efecto Pasillo,Cerca de ti,2TggjdTtBxew83GlBFBusf,32
OneRepublic,Rich Love (with Seeb),7aF09WaavZAmAWuUeYxlYD,79
Rodolfo Aicardi,La Colegiala,7rDIiNyDgqUb6WQOgskiiF,48
Amaia Romero,Te Recuerdo Amanda,2pEaxgbRtvoOCKJ7gA0DI6,50
Gonzalo SÃ¡nchez,Camarero...,5OUlxvj8lE6rz1tMGAXmaB,15
Duran Duran,A View To A Kill,3O9zeBmAi5JRBMSpIQGx2v,56
Sting,If You Love Somebody Set Them Free,29nWaC9pd3FRFOxxRmJRtO,46
Opus,Live Is Life (digitally remastered) - Single Version,5luOvrlnzfvJQdQjrScVj4,61
Modern Talking,You Can Win If You Want,2pZbERJUZsfkKRn1EU1mgD,48
La Mosca Tse-Tse,Baila Para Mi,2vwJC3c69M9B8WJpVUoKix,43
Queen,A Kind Of Magic - Remastered 2011,5RYLa5P4qweEAKq5U1gdcK,60
Cali Y El Dandee,Yo Te EsperarÃ©,7CSj1zTMJxSz7bnHxgGsSF,63
Paolo Salvatore,El Tomavistas,6XPTT2ATlSOn3c90JJ3Lu1,7
Paulo Londra,Nena Maldicion (feat. Lenny Tavarez),3TnhQSRwT3AVMdXw5JPq0x,83
Wax,Right Between the Eyes,5vm0CC2xkzqr3sPsmDGZOX,44
Mecano,Ay Que Pesado,2JLvwadQSPq6aFEuekTJYf,47
Flies on the Square Egg,Dancing in Paris - Que Pasa,19n7JRwmIQiopMMUJRU3Og,0
Primeros LÃ­deres,"Hey, Mademoiselle",6B3o2MNX01i8yiq6PEkcKD,15
Billie Holiday,Easy Living,0XsbCr34semDxq0ZX84BCh,57
JosÃ© Alfredo Jimenez,Sonaron cuatro balazos,2r6uxmPn7gNchPnC7s36Ui,11
Status Quo,In The Army Now,6TPAhgpBvhMIDUzmDnWJmj,57
Duncan Dhu,Jardin De Rosas,03pFLwXbMOfEjGcoCKqd0l,44
Ole Ole,Sola (Con Un Desconocido),7pqTE8rWJUZ74M3rpDbLzP,33
George Ezra,Budapest,7GJClzimvMSghjcrKxuf1M,77
Kike Rodriguez,Cuerpos Calientes 2.0,6wCJ4ODkk0F8lVJlF53QKN,7
Nek,Laura no estÃ,5jbG38paHIeVJc57uXUNYt,60
Massive Attack,Unfinished Sympathy - 2012 Mix/Master,0j5FJJOmmnXPd0XajFWkMF,60
Orquesta Mondragon,Ellos Las Prefieren Gordas,4unmzD7whZIjevG0AxVQD9,29
Duncan Dhu,Una Calle De Paris,4A2RJRAz3lFGbvHEcZEQ7m,47
Eddy Grant,Gimme Hope Jo'anna,6295Cr4SGdjJgnJ6DLtZFn,46
Gabinete Caligari,Suite Nupcial,0sqT0hBYttZiNbkS4FmRvM,31
Bomba EstÃ©reo,To My Love - Tainy Remix,5LciLoxa1gK70yIUeoHgRx,85
Aitana,Chas! Y Aparezco A Tu Lado - OperaciÃ³n Triunfo 2017,4WmjtI7srDRXNcrWmzKY6b,56
